ch,link_text,link_destination,domain,is_sublink
11.16,(2016) 263 A Crim R 322,https://plus.lexis.com/apac/search/?pdmfid=1539278&crid=2b8b07cd-9701-4fb4-96f5-56a21883533e&pdsearchterms=r%20v%20fak%20—%20(2016)%20263%20a%20crim%20r%20322;%20%5B2016%5D%20qca%20306;%20bc201609988&pdtypeofsearch=searchboxclick&pdsearchtype=SearchBox&pdstartin=hlct:1:0&pdpsf=&pdqttype=and&pdquerytemplateid=&ecomp=c5cck&earg=pdsf&prid=b237bd10-73d3-4638-8709-cecbd8ce4ccb,plus.lexis.com,False
11.16,[2016] QCA 306,https://www.queenslandjudgments.com.au/caselaw/qca/2016/306,queenslandjudgments.com.au,False
11.16,(1997) 91 A Crim R 590,https://plus.lexis.com/apac/search/?pdmfid=1539278&crid=c0ea3d16-8e79-44f2-92a7-0db28d319b75&pdsearchterms=91%20a%20crim%20r%20590&pdtypeofsearch=searchboxclick&pdsearchtype=SearchBox&pdstartin=hlct:1:0&pdpsf=&pdqttype=and&pdquerytemplateid=&ecomp=c5cck&earg=pdsf&prid=40f14aeb-0df2-4a6b-84ac-6dbf99081639,plus.lexis.com,False
11.17,") [2004] 1 Qd R 162, [33]-[34]",https://www.queenslandjudgments.com.au/case/id/501169,queenslandjudgments.com.au,False
11.17,[2002] QCA 206,https://archive.sclqld.org.au/qjudgment/2002/QCA02-206.pdf,archive.sclqld.org.au,False
11.17,[2016] QCA 306,https://www.queenslandjudgments.com.au/caselaw/qca/2016/306,queenslandjudgments.com.au,False
11.17,(1997) 91 A Crim R 590,https://anzlaw.thomsonreuters.com/Document/Ia3279cd0896311e8aca5bab3c9b3f468/View/FullText.html?originationContext=typeAhead&transitionType=Default&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
11.18,(2011) 209 A Crim R 379,https://plus.lexis.com/apac/search/?pdmfid=1539278&crid=33c7bd1f-be5d-4a04-9b18-6bd607925648&pdsearchterms=r%20v%20jones%20—%20(2011)%20209%20a%20crim%20r%20379;%20%5B2011%5D%20qca%20019;%20bc201100527&pdtypeofsearch=searchboxclick&pdsearchtype=SearchBox&pdstartin=hlct:1:0&pdpsf=&pdqttype=and&pdquerytemplateid=&ecomp=c5cck&earg=pdsf&prid=01af001a-7fe1-4086-ba75-59b9279eb7f5,plus.lexis.com,False
11.18,[2011] QCA 19,https://www.queenslandjudgments.com.au/caselaw/qca/2011/19,queenslandjudgments.com.au,False
11.18,[2020] QCA 192,https://www.queenslandjudgments.com.au/caselaw/qca/2020/192,queenslandjudgments.com.au,False
11.18,[2016] QCA 306,https://www.queenslandjudgments.com.au/caselaw/qca/2016/306,queenslandjudgments.com.au,False
11.18,(1997) 91 A Crim R 590,https://anzlaw.thomsonreuters.com/Document/Ia3279cd0896311e8aca5bab3c9b3f468/View/FullText.html?originationContext=typeAhead&transitionType=Default&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
11.19,[1981] Qd R 209,https://www.queenslandjudgments.com.au/case/id/511983,queenslandjudgments.com.au,False
